"RespondentID","StartDate","EndDate","Consent","Position1","Position2","College","College2","PPT_TF","LMS_TF","Study_Guides_TF","Social_Media_TF","ETextbooks_TF","IC_Discussion_TF","Student_Participation_TF","MC_Exams_TF","Group_Projects_TF","Homework_TF","Papers_TF","Small_Discussion_TF","Other_Readings_TF","Clickers_TF","Essay_Exam_TF","Textbook_TF","Ind_Projects_TF","Demos_TF","Chlk_Wht_Brd_TF","Other2","All_Other_Pedagogies_TF","Rank1","Rank2","Rank3","Office_Hrs_TF","Interact_In_Class_TF","Outside_Office_Hrs_TF","Know_Names_TF","None","Interact_Other_2","Interact_Other_TF","Email_Time","Post_Grades_Time","Assignment_Return_Time","Meet_Time","Phone_Time","What_do_you_feel_is_are_misconceptions_students_have_about_the_course_Open_Ended_Response","If_there_are_any_other_questions_you_wish_were_included_in_this_survey_please_describe_Open_Ended_Response"
"1783678274","04/03/2012 17:26:54","04/03/2012 17:32:34","YES","Non-tenured full-time teaching Faculty","","College of Behavioral and Social Sciences","Other STEM College","true","true","true","false","false","true","true","true","true","true","true","false","false","true","true","true","false","true","true","","false","In-class discussions","Homework","Essay-based Exams","true","true","true","false","","","false","Within 24 hours","Within a week","Within a week","Within 2 days","Within 24 hours","I think one of the major misconceptions is that being able to define concepts will lead to a good grade in the course.  The students are surprised when they have to apply concepts to new situations.","I teach several classes, so I kind of made an amalgamation of several classes in my responses.  Not all of these items apply to all my classes."
"1782238047","04/02/2012 19:22:00","04/02/2012 19:30:21","YES","Non-tenured full-time teaching Faculty","","College of Computer, Mathematical, and Natural Sciences","College of Computer, Mathematical, and Natural Sciences","false","true","true","false","false","false","false","true","false","true","false","false","false","false","false","false","false","true","false","Weekly review sessions","true","Other","Homework","Demonstrations","true","true","true","false","","Conduct anonymous review sessions","true","Immediately","Within a week","Within a week","Immediately","Never","That because my courses are lab courses students should get credit/a letter grade based solely on the fact that they showed up for lab; that nothing else should be expected of them; that any other work related to the course...including evidencing the fact that one understood what they did in the lab is unfair.","Something about what faculty think about the fact that student evaluations are often based on their conceptions of what is expected of them, even when what faculty expect has been described in detail and provided to them."
"1781927510","04/02/2012 16:32:41","04/02/2012 16:35:52","YES","Non-tenured full-time teaching Faculty","","College of Computer, Mathematical, and Natural Sciences","College of Computer, Mathematical, and Natural Sciences","true","true","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","true","true","","false","Essay-based Exams","Homework","Clickers","true","true","true","true","","","false","Within a week","Within 24 hours","Within 24 hours","Immediately","Within a week","That they can memorize and do well.  That reading the textbook makes up for applying the material.","I am not sure we, as Faculty, really know what the students expect???!!!"
"1780893763","04/01/2012 18:10:39","04/01/2012 18:12:35","YES","Graduate Student","","College of Arts and Humanities","College of Arts and Humanities","true","true","true","false","false","true","true","false","false","true","true","false","true","false","true","true","false","false","false","","false","Power Point slides","In-class discussions","Textbooks","true","true","true","true","","","false","Immediately","Within a week","Within a week","Within 24 hours","Never","The amount of reading that is required",""
"1780421964","03/31/2012 21:18:39","03/31/2012 21:24:25","YES","Non-tenured full-time teaching Faculty","","College of Computer, Mathematical, and Natural Sciences","College of Computer, Mathematical, and Natural Sciences","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","Lectures (I don't know whether In-class discusions refers to discussions between students only, or if it's referring to lecturing","true","Other","Student participation","Individual projects","true","true","false","false","","There are a lot of things that students expect that are not listed here....","true","Within 24 hours","Within a week","Within a week","Within a week","Within 2 days","That an instructor with a couple of hundred students can realistically explain the course material, or find and fix problems in their coursework, via email.","Chalkboard/whiteboard is not given as an option in #5; it should be."
"1780208674","03/31/2012 15:36:31","03/31/2012 15:41:47","YES","Other (please specify)","Director","College of Computer, Mathematical, and Natural Sciences","College of Computer, Mathematical, and Natural Sciences","true","true","false","false","false","true","true","false","true","true","true","true","true","false","false","true","true","true","true","","false","In-class discussions","Papers","Essay-based Exams","true","true","false","true","","","false","Within 2 days","Within 2 days","Within a week","Within a week","Within a week","",""
"1780010763","03/31/2012 07:40:49","03/31/2012 07:43:08","YES","Tenure Track Faculty","","College of Arts and Humanities","College of Arts and Humanities","true","true","true","false","false","true","true","true","false","true","true","false","true","false","true","true","true","false","true","screenings","true","In-class discussions","Papers","Student participation","true","true","true","false","","","false","Within 24 hours","Within 2 days","Within a week","Within 24 hours","Within 24 hours","This question does not make sense to me.",""
"1779353434","03/30/2012 17:34:14","03/30/2012 17:38:45","YES","Non-tenured full-time teaching Faculty","","School of Public Health","Other","true","true","true","false","false","true","true","true","false","false","false","false","false","false","false","true","false","true","true","","false","In-class discussions","Essay-based Exams","Student participation","true","true","true","false","","","false","Immediately","Immediately","Within a week","Within 2 days","","Students expect that powerpoint slides will always be provided and that study guides be provided.  As an instructor this means to me that they want the course information handed to them without much work on their part.  I think to truly understand the material they need to be present in class, participate and think critically.","#5 was confusing whether I meant what I think what is most important for student learning or what they think is most important.      Ask about the size of courses, much of the knowing students names and other issues (multiple choice vs essay exam) comes down to class size."
"1778990806","03/30/2012 13:48:47","03/30/2012 13:53:57","YES","Tenured Faculty","","College of Arts and Humanities","College of Arts and Humanities","true","false","false","false","false","true","true","true","false","true","true","false","true","false","false","true","true","false","false","","false","Homework","In-class discussions","Readings other than textbook","false","true","false","true","","","false","","","Within a week","Never","","","This is a difficult survey to do.  Not only does the question above ask How soon do your students expect you to be available to meet with you? but it is not at all clear whether the responses are to be tied to a particular course, to me as an instructor, or to courses in general.  Good luck with figuring out from which perspective we were responding."
"1778861682","03/30/2012 12:05:49","03/30/2012 12:13:22","YES","Tenured Faculty","","College of Computer, Mathematical, and Natural Sciences","College of Computer, Mathematical, and Natural Sciences","true","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","","false","Student participation","Small discussions groups","In-class discussions","true","true","true","false","","Provide lecture slides in advance of class sessions.","true","Immediately","Immediately","Immediately","Immediately","Immediately","That they will learn anything by mere passive receipt of information.  That they can fully engage in and benefit from class sessions without giving us their complete attention.",""
"1778615052","03/30/2012 05:54:24","03/30/2012 05:59:52","YES","Adjunct Faculty","","College of Arts and Humanities","College of Arts and Humanities","true","true","false","false","false","true","true","false","false","true","true","false","false","false","true","true","true","false","true","","false","Homework","In-class discussions","Papers","true","true","true","false","","Treat them with respect","true","Within 2 days","Within a week","Within a week","Within a week","Within 2 days","That I will tell them an exact list of facts they need to know to do well on the exam.  Some students don't realize college is largely about critical thinking and learning to synthesize facts and ideas and draw conclustions by applying principles.",""
"1778553394","03/30/2012 03:57:45","03/30/2012 04:02:38","YES","Adjunct Faculty","","College of Arts and Humanities","College of Arts and Humanities","true","true","true","false","false","true","true","false","true","false","true","true","true","false","false","true","true","true","false","podcasts, online resources","true","Individual projects","Student participation","Group Projects","true","true","true","true","","","false","Within 24 hours","Within a week","Within a week","Within a week","Immediately","That we are accessible 24/7 for their immediate benefit.","I would ask questions about technologies classrooms. I teach in one and utilize many features. I would also ask about students using their own technology in the class room (laptops, iPads, smart phones, etc) and that management and integration."
"1778406970","03/28/2012 20:04:55","03/30/2012 01:17:46","YES","Tenure Track Faculty","","College of Arts and Humanities","College of Arts and Humanities","false","false","false","false","false","true","true","false","false","true","true","true","true","false","true","true","true","false","true","","false","Readings other than textbook","In-class discussions","Papers","true","true","true","true","","","false","Immediately","Within a week","Within a week","Within a week","Never","","I am confused that I haven't also been asked what technologies and pedagogical strategies I actually use in my classes. Also, I am confused about the apparent specificity of the questions. Am I being asked to think of a specific class, or my courses in general? Question 8 is too vague to answer usefully."
